AGS,Name,2020,2019,2018,AGS2
09171111,Altötting.St,46.1,46,45.9,9171111
09171112,Burghausen.St,45.1,45.2,45.4,9171112
09171113,Burgkirchena.d.Alz,43.6,43.7,43.7,9171113
09171114,Emmerting,45.6,45.3,45,9171114
09171115,Erlbach,43.8,43.8,43.7,9171115
09171116,Feichtena.d.Alz,42.7,43,43,9171116
09171117,Garchinga.d.Alz,45,45.2,45.1,9171117
09171118,Haiming,45.3,45.6,45.2,9171118
09171119,Halsbach,40.2,40.8,41.7,9171119
09171121,Kastl,43.1,42.8,42.5,9171121
09171122,Kirchweidach,40.3,39.7,39.8,9171122
09171123,Marktl.M,46,46.3,45.9,9171123
09171124,Mehring,43.8,43.4,42.8,9171124
09171125,Neuötting.St,44.8,44.7,44.6,9171125
09171126,Perach,43.3,43.6,43.5,9171126
09171127,Pleiskirchen,43.1,42.8,42.8,9171127
09171129,Reischach,43.5,43.4,43.3,9171129
09171130,Stammham,45.8,45.8,46.2,9171130
09171131,Teising,44.7,44.7,44.4,9171131
09171132,Töginga.Inn.St,45.9,45.8,45.7,9171132
09171133,Tüßling.M,44.3,44,43.9,9171133
09171134,Tyrlaching,41.8,42.2,42.4,9171134
09171135,Unterneukirchen,41.9,41.9,41.7,9171135
09171137,Winhöring,46.4,45.8,45.7,9171137
09172111,Ainring,45.6,45.5,45.1,9172111
09172112,Anger,43.6,43.4,43.1,9172112
09172114,BadReichenhall.GKSt,48.7,48.8,48.7,9172114
09172115,BayerischGmain,48.6,48.3,48.1,9172115
09172116,Berchtesgaden.M,46.3,46.2,45.8,9172116
09172117,Bischofswiesen,46.5,46.5,46.4,9172117
09172118,Freilassing.St,43.9,43.9,44,9172118
09172122,Laufen.St,44.7,44.3,44.2,9172122
09172124,Marktschellenberg.M,44.1,44.3,44.4,9172124
09172128,Piding,45.9,45.7,45.2,9172128
09172129,Ramsaub.Berchtesgaden,44.3,44.1,44,9172129
09172130,Saaldorf-Surheim,43.5,43.5,43.3,9172130
09172131,Schneizlreuth,46.1,45.9,45.9,9172131
09172132,Schönaua.Königssee,44.8,44.5,44.3,9172132
09172134,Teisendorf.M,43.4,43.3,43.2,9172134
09173111,BadHeilbrunn,44.6,44.4,43.9,9173111
09173112,BadTölz.St,45.6,45.4,45.2,9173112
09173113,Benediktbeuern,46.1,46.2,45.5,9173113
09173115,Bichl,42.2,41.9,41.7,9173115
09173118,Dietramszell,42.6,42.7,42.3,9173118
09173120,Egling,43.6,43.4,43,9173120
09173123,Eurasburg,44.2,43.7,43.4,9173123
09173124,Gaißach,42.6,42.5,42,9173124
09173126,Geretsried.St,44.9,44.8,44.7,9173126
09173127,Greiling,44.3,44.4,44.6,9173127
09173130,Icking,44.5,44.4,44.4,9173130
09173131,Jachenau,42.2,41.7,41.4,9173131
09173133,Kochela.See,46.2,46.2,46.1,9173133
09173134,Königsdorf,43.3,43.2,43.3,9173134
09173135,Lenggries,44.8,44.7,44.4,9173135
09173137,Münsing,44.7,44.3,44.2,9173137
